Participant_ID,Male_1,Trial_Number,Money_Transfered,RT_Investment,RT_Evaluation,RT_Feedback,Eval,Fair,Happy,Amount_Returned,Payback_Shuffle,Order_Shuffle,Final_money_subj,Final_money_trustee,Eval_self,RT_eval_self,Eval_other,RT_eval_other,group
2,1,78,4,3.1136175,3.2318143,1.8844403,2,0,1,0,0,4,5,12,0,0,0,0,case
2,1,79,5,2.0091866,5.0065687,2.4119915,4,0,1,3,20,4,7,12,0,0,0,0,case
2,1,80,4,2.0873623,3.8133693,2.3132313,6,0,1,5,39,4,10,7,0,0,0,0,case
2,1,81,3,2.8678894,4.8094006,6.9155164,2,0,1,1,15,4,7,8,0,0,0,0,case
2,1,82,7,1.8460917,3.0574497,2.1612895,1,0,1,0,2,4,2,21,0,0,0,0,case
2,1,83,6,3.2918936,3.3323281,8.2089854,3,0,1,4,24,4,7,14,0,0,0,0,case
2,1,84,9,2.2159009,1.6401196,2.0650038,1,0,1,1,4,4,1,26,7,27.329539,4,16.2679356,case
3,1,1,5,21.7851013,44.4739779,5.3036555,2,0,0,2,11,2,6,13,0,0,0,0,case
3,1,2,6,2.229798,0.3879543,1.7737292,1,0,0,1,4,2,4,17,0,0,0,0,case
3,1,3,2,0.3807427,7.7734464,1.5049984,5,0,0,2,33,2,9,4,0,0,0,0,case
3,1,4,3,0.5468464,0.2972249,5.6809286,4,0,0,2,22,2,8,7,0,0,0,0,case
3,1,5,4,0.1465619,0.4489787,1.5455322,2,0,0,2,13,2,7,10,0,0,0,0,case
3,1,6,6,0.0188962,0.2271267,1.68614,5,0,0,6,35,2,9,12,0,0,0,0,case
3,1,7,9,3.1021584,2.7397804,1.7331491,4,0,0,8,28,2,8,19,0,0,0,0,case
3,1,8,8,0.3710686,3.1159614,1.5038113,1,0,0,4,15,2,5,20,0,0,0,0,case
3,1,9,4,1.3848782,0.788532,2.2343885,2,0,0,1,9,2,6,11,0,0,0,0,case
3,1,10,1,0.2069887,4.530778,1.5042006,5,0,0,1,44,2,9,2,0,0,0,0,case
3,1,11,1,0.4496391,0.332668,1.5689786,5,0,0,1,39,2,9,2,0,0,0,0,case
3,1,12,2,1.0086132,0.636347,1.6002033,5,0,0,2,31,2,9,4,0,0,0,0,case
3,1,13,5,0.5865362,0.2121465,2.08355,1,0,0,0,0,2,4,15,0,0,0,0,case
3,1,14,2,0.5217912,0.2288144,1.9013357,1,0,0,0,2,2,7,6,0,0,0,0,case
3,1,15,2,0.3697165,0.2364226,1.5547436,1,0,0,0,7,2,7,6,0,0,0,0,case
3,1,16,1,0.4203567,2.6212629,1.5042296,5,0,0,1,37,2,9,2,0,0,0,0,case
3,1,17,4,0.3499746,87.3564639,1.85278,4,0,0,3,26,2,8,9,0,0,0,0,case
3,1,18,5,0.6323674,1.7565417,1.6596654,3,0,0,3,18,2,7,12,0,0,0,0,case
3,1,19,2,0.4769601,0.9129028,1.5042278,6,0,0,3,42,2,10,3,0,0,0,0,case
3,1,20,3,0.3780021,1.0280729,2.7437034,4,0,0,2,20,2,8,7,0,0,0,0,case
3,1,21,3,0.659275,0.7724046,1.5175694,4,0,0,2,24,2,8,7,7,0.8330225,2,0.348851,case
3,1,22,6,134.602073,3.3591684,1.5039725,8,1,1,8,43,1,11,10,0,0,0,0,case
3,1,23,7,0.3478701,0.6835123,1.8348286,9,1,1,13,60,1,15,8,0,0,0,0,case
3,1,24,9,0.0194539,2.4595153,1.718755,3,1,1,6,21,1,6,21,0,0,0,0,case
3,1,25,5,0.4619434,13.7618466,1.5030579,7,1,1,7,47,1,11,8,0,0,0,0,case
3,1,26,6,1.0521237,6.7084371,1.6511589,7,1,1,9,49,1,12,9,0,0,0,0,case
3,1,27,6,1.5285767,1.4100867,1.5039672,6,1,1,7,39,1,10,11,0,0,0,0,case
3,1,28,7,0.3025801,0.9234271,1.504122,7,1,1,9,45,1,11,12,0,0,0,0,case
3,1,29,7,0.3280541,2.0805928,1.5038448,9,1,1,12,56,1,14,9,0,0,0,0,case
3,1,30,7,1.6356156,0.8260996,1.5054188,9,1,1,14,65,1,16,7,0,0,0,0,case
3,1,31,7,0.2464767,2.0763735,1.506561,5,1,1,7,34,1,9,14,0,0,0,0,case
3,1,32,7,3.9580816,0.7559726,1.7914728,9,1,1,13,63,1,15,8,0,0,0,0,case
3,1,33,7,0.4248561,0.8687098,1.5029517,6,1,1,8,36,1,10,13,0,0,0,0,case
3,1,34,7,0.3254337,2.0021642,1.6326105,4,1,1,6,28,1,8,15,0,0,0,0,case
3,1,35,5,2.1193034,1.5159122,1.5039524,7,1,1,8,54,1,12,7,0,0,0,0,case
3,1,36,5,0.4130386,1.8661237,1.5040216,6,1,1,6,41,1,10,9,0,0,0,0,case
3,1,37,8,0.6855373,0.7990938,1.5723239,5,1,1,8,32,1,9,16,0,0,0,0,case
3,1,38,7,1.096445,1.5280239,1.6451145,4,1,1,6,30,1,8,15,0,0,0,0,case
3,1,39,6,3.810289,1.1210956,1.6502535,8,1,1,9,52,1,12,9,0,0,0,0,case
3,1,40,9,3.5049133,0.9774122,1.6537244,3,1,1,6,23,1,6,21,0,0,0,0,case
3,1,41,2,0.0790984,1.1222854,1.6765362,5,1,1,2,25,1,9,4,0,0,0,0,case
3,1,42,4,0.3934817,3.2684495,1.5892956,7,1,1,7,58,1,12,5,7,4.3302796,6,12.1419364,case
3,1,43,5,40.1558237,9.3450435,1.5031875,4,0,1,4,26,4,8,11,0,0,0,0,case
3,1,44,7,1.1713287,5.1957309,41.3674746,3,0,1,5,24,4,7,16,0,0,0,0,case
3,1,45,4,33.1802264,0.4121741,1.8271637,1,0,1,0,4,4,5,12,0,0,0,0,case
3,1,46,2,0.491224,0.1764118,1.5042934,5,0,1,2,37,4,9,4,0,0,0,0,case
3,1,47,1,0.0080152,0.2595533,1.5041477,5,0,1,1,42,4,9,2,0,0,0,0,case
3,1,48,3,0.3236528,0.164167,1.9018551,4,0,1,2,18,4,8,7,0,0,0,0,case
3,1,49,4,0.5677913,0.3407605,1.7078957,5,0,1,4,33,4,9,8,0,0,0,0,case
3,1,50,7,1.2771599,8.137639,1.9700499,2,0,1,2,9,4,4,19,0,0,0,0,case
3,1,51,3,0.6077009,3.0370824,1.7545784,3,0,1,1,7,4,7,8,0,0,0,0,case
3,1,52,3,1.3184163,0.31493,1.5040509,5,0,1,3,28,4,9,6,0,0,0,0,case
3,1,53,4,1.3708688,1.2362628,1.5040402,6,0,1,5,44,4,10,7,0,0,0,0,case
3,1,54,7,0.6058468,0.3644035,1.8285765,5,0,1,7,35,4,9,14,0,0,0,0,case
3,1,55,4,0.0078071,1.7326581,1.7127305,2,0,1,1,11,4,6,11,0,0,0,0,case
3,1,56,5,0.5417384,2.6764889,1.5253148,3,0,1,3,22,4,7,12,0,0,0,0,case
3,1,57,5,4.1391618,3.3418851,1.6740383,3,0,1,3,20,4,7,12,0,0,0,0,case
3,1,58,5,0.439865,0.2362912,2.490389,2,0,1,2,13,4,6,13,0,0,0,0,case
3,1,59,1,0.2949498,0.5317406,1.841292,5,0,1,1,39,4,9,2,0,0,0,0,case
3,1,60,2,0.3634926,35.7857292,1.5041675,4,0,1,1,15,4,8,5,0,0,0,0,case
3,1,61,4,2.2247612,0.314014,1.5043174,1,0,1,0,0,4,5,12,0,0,0,0,case
3,1,62,1,1.3230465,3.4515906,1.7554608,3,0,1,0,2,4,8,3,0,0,0,0,case
3,1,63,1,0.2968476,0.9010269,1.7382852,5,0,1,1,31,4,9,2,7,6.9457743,3,0.9301739,case
3,1,64,4,23.4829066,0.7243093,2.21354,5,1,0,4,30,3,9,8,0,0,0,0,case
3,1,65,5,0.2461274,0.2282216,1.6608896,5,1,0,5,32,3,9,10,0,0,0,0,case
3,1,66,5,0.483995,0.3886904,1.6683613,7,1,0,7,49,3,11,8,0,0,0,0,case
3,1,67,7,1.1369337,2.3599209,1.5038408,7,1,0,9,43,3,11,12,0,0,0,0,case
3,1,68,7,1.2004616,4.9562867,1.7015211,8,1,0,11,52,3,13,10,0,0,0,0,case
3,1,69,9,0.2296625,3.1640307,1.8019752,7,1,0,11,39,3,11,16,0,0,0,0,case
3,1,70,9,0.5150582,0.7083815,2.1365931,5,1,0,9,34,3,9,18,0,0,0,0,case
3,1,71,6,0.0078225,3.4627685,1.5038914,7,1,0,8,47,3,11,10,0,0,0,0,case
3,1,72,6,2.4229893,2.3494457,1.5039766,8,1,0,10,58,3,13,8,0,0,0,0,case
3,1,73,6,0.4499792,0.9605267,1.5040064,8,1,0,10,56,3,13,8,0,0,0,0,case
3,1,74,6,0.5468727,21.0445099,1.7414192,5,1,0,5,28,3,8,13,0,0,0,0,case
3,1,75,7,9.0561309,0.7326049,1.5487845,9,1,0,14,65,3,16,7,0,0,0,0,case
3,1,76,8,1.2491391,0.8601805,1.6534134,9,1,0,15,63,3,16,9,0,0,0,0,case
3,1,77,9,1.0197922,0.7398939,3.5611519,9,1,0,15,54,3,15,12,0,0,0,0,case
3,1,78,9,4.0773221,3.2204063,1.6668029,3,1,0,6,21,3,6,21,0,0,0,0,case
3,1,79,7,3.3031673,139.1402099,1.8850814,6,1,0,9,41,3,11,12,0,0,0,0,case
3,1,80,7,18.9735288,3.1326886,2.6102838,8,1,0,13,60,3,15,8,0,0,0,0,case
3,1,81,8,3.0008015,1.1560488,2.7785722,6,1,0,9,36,3,10,15,0,0,0,0,case
3,1,82,7,671.2292571,3.1032548,1.803506,4,1,0,5,23,3,7,16,0,0,0,0,case
3,1,83,5,0.9617007,1.0959277,4.5833285,7,1,0,7,45,3,11,8,0,0,0,0,case
3,1,84,8,5.1364646,2.7232796,1.5038013,3,1,0,6,25,3,7,18,7,0.0033628,6,15.7213115,case
4,1,1,2,11.2820163,8.7329509,31.4620668,1,0,0,1,11,2,8,5,0,0,0,0,case
4,1,2,3,7.4182742,2.0957246,10.3908588,1,0,0,0,4,2,6,9,0,0,0,0,case
4,1,3,3,7.1001902,0.8173658,17.4108233,3,0,0,3,33,2,9,6,0,0,0,0,case
4,1,4,2,4.6091262,5.3478046,18.2065642,1,0,0,1,22,2,8,5,0,0,0,0,case
4,1,5,1,4.2399064,5.2925138,25.4409558,3,0,0,0,13,2,8,3,0,0,0,0,case
4,1,6,3,4.974068,0.5084886,9.0963941,3,0,0,3,35,2,9,6,0,0,0,0,case
